SLB,19.81
STX,19.3
SEE,26.2
SRE,-17.49
SHW,27.32
SPG,26.91
SWKS,23.36
SNA,11.92
SO,-32.59
SWK,27.11
SBUX,8.67
STT,10.64
STE,23.26
SYK,15.0
SIVB,3.7
SYF,21.53
SNPS,13.88
SYY,15.1
T,29.79
TECH,37.03
TAP,16.22
TMUS,21.13
TROW,21.8
TTWO,22.14
TPR,27.42
TGT,15.81
TEL,31.72
TDY,20.28
TFX,12.77
TER,23.46
TSLA,30.09
TXN,7.35
TXT,5.83
TMO,15.1
TJX,22.65
TSCO,31.62
TT,19.57
TDG,24.68
TRV,3.8
TRMB,25.59
TFC,6.03
TWTR,20.31
TYL,22.95
TSN,13.07
UDR,15.31
ULTA,22.55
USB,-20.68
UAA,22.85
UA,22.85
UNP,21.13
UAL,23.16
UNH,12.46
UPS,0.31
URI,21.02
UHS,27.15
VLO,12.26
VTR,21.74
VRSN,33.14
VRSK,36.59
VZ,14.09
VRTX,23.87
VFC,23.36
VIAC,20.62
VTRS,25.8
V,36.73
VNO,22.85
VMC,28.13
WRB,-4.06
WAB,12.67
WMT,22.85
WBA,17.23
WM,27.35
WAT,17.78
WEC,10.91
WFC,-431.46
WELL,29.99
WST,20.79
WDC,20.92
WU,23.05
WRK,34.56
WY,18.18
WHR,3.5
WMB,4.1
WLTW,19.3
WYNN,21.74
XRAY,11.04
XOM,13.99
XEL,2.75
XLNX,23.26
XYL,13.38
YUM,25.93
ZBRA,12.87
ZBH,25.49
ZION,38.45
ZTS,21.74
